cognom;freq1;freq2;fre1i2
NAJARRO;899;955;5
ESCUER;899;922;13
IBEAS;899;828;19
TORAN;898;954;0
CALVA;898;898;24
CHIRINOS;898;871;20
ESCABIAS;898;869;14
BONED;898;804;40
RAHMOUNI;898;267;23
ARSHAD;898;94;0
ARRILLAGA;897;868;6
MARCOTE;897;864;14
AGUNDEZ;897;833;9
OTEIZA;897;825;5
HUELAMO;897;820;9
GOMEZ CALCERRADA;897;775;25
ANGELOV;897;516;37
SEYE;897;154;21
VERGE;896;911;14
ALCAINA;896;909;0
ARANBURU;896;789;6
BOTA;896;478;0
OTAL;895;993;24
ZUGASTI;895;815;5
ROMANI;895;738;0
VERNET;894;899;0
VIVEROS;894;898;10
PRESAS;894;878;9
ALBIACH;894;764;0
ANDERSON;894;230;9
BULNES;893;926;6
GRAN;893;867;6
PAJARO;893;749;5
AZZOUZ;893;347;14
REYNOSO;892;993;23
LOPE;892;920;18
JOVEN;892;881;13
CASTEDO;892;827;0
GABILONDO;891;927;0
RUESCAS;891;925;0
BURRIEL;891;868;0
ZALDUA;891;694;10
DURANGO;890;943;0
AZPEITIA;890;941;0
BERISTAIN;890;936;7
ORUE;890;865;5
AGUILELLA;890;848;10
JAUREGI;890;732;5
ALLALI;890;308;19
DAVIS;890;218;0
LECHON;889;971;0
ARCILA;889;951;0
BORREGA;889;938;0
CAMBON;889;937;0
LLANA;889;870;8
RACIONERO;889;831;0
BOX;889;765;6
EL HASNAOUI;889;226;20
MAINAR;888;932;16
TORTOLA;888;860;0
TANG;888;133;0
ZAHARIA;888;86;14
GRANDAL;887;887;10
PIN;887;843;10
GROS;887;842;7
SARRIAS;887;804;18
LEPE;886;897;12
ALLEGUE;886;871;14
URDA;886;746;5
CORBERA;885;899;0
ALCAINE;885;879;0
GRAELLS;885;855;0
VIDA;885;842;0
MISA;885;799;8
ALBAN;885;769;10
GUAN;885;58;7
PORTUGAL;884;1001;21
ARRUE;884;939;0
BENAIGES;884;908;43
CORREDOIRA;884;783;25
URUEÑA;883;939;8
ESCUDE;883;929;8
ERRO;883;924;0
OTAMENDI;883;884;9
STOYANOVA;883;517;38
HASSANI;883;364;26
MOKHTARI;883;265;13
EZCURRA;882;984;6
DE LA PLAZA;882;873;0
ZAMARREÑO;882;849;0
MACEIRA;882;821;14
FEAL;882;797;0
COSIN;882;767;6
ALVEAR;882;756;0
ETXANIZ;882;659;17
BUJ;881;918;7
BERNET;881;807;0
SANTOLAYA;881;715;20
SALMON;881;679;0
TENZA;880;876;20
SARDON;880;866;0
VILLAFAÑE;880;766;5
NEDELCU;880;82;7
MAIQUEZ;879;959;0
PERTUSA;879;956;6
AROCAS;879;924;5
GRANIZO;879;807;7
PODADERA;879;767;6
ARREGI;879;735;5
KELLY;879;157;0
EDWARDS;879;134;0
ECHAVE;878;1177;12
PEQUEÑO;878;925;6
GUARDEÑO;878;910;9
TURRADO;878;874;76
CHICON;878;824;5
PENIN;878;777;13
TATAY;878;766;12
ZANNOUTI;878;310;168
BALDA;877;921;14
PONTES;877;895;0
QUIRANTE;877;842;19
DIAZ MAROTO;877;833;31
MONTAVEZ;877;778;24
MBA;877;376;9
KING;877;233;0
PERIÑAN;876;933;15
TAVIRA;876;902;0
REJAS;876;880;14
HINCAPIE;876;873;20
BRAHIM;876;788;14
RETAMAL;876;744;12
MAAROUFI;876;192;61
LACATUS;876;55;0
MUNTANER;875;849;0
PARRES;875;848;0
CAÑADILLAS;875;807;9
MURPHY;875;195;0
HUESCA;874;832;0
ALCACER;874;768;0
LOU;874;655;20
LAGAR;873;999;36
PLANELLA;873;908;9
LAX;873;800;0
COSTACHE;873;70;0
NI;873;67;5
ABEIJON;872;1105;20
MONTERROSO;872;926;0
PUJOLS;872;898;35
AROCENA;872;878;0
BECEIRO;872;848;11
PUMAR;871;930;6
MARULANDA;871;929;11
DEL AMOR;871;841;0
ETAYO;871;748;22
COOPER;871;122;0
BONACHE;870;850;0
BRUGUERA;869;947;0
CANDIL;869;935;0
TROITIÑO;869;929;14
PERDIGONES;869;925;0
RAMILO;869;855;0
QUER;869;817;0
RICOTE;869;798;9
LANCHAS;869;762;18
BAILE;869;754;0
RUAN;869;146;0
ROBAYNA;868;890;17
BESTEIRO;868;888;9
GARDUÑO;868;883;0
VASALLO;867;921;8
SANTIBAÑEZ;867;903;13
COSIO;867;901;14
ROMANOS;867;882;6
RIUTORT;867;825;13
BRACHO;867;776;9
WEI;867;55;5
BURGUILLO;866;903;30
IBARRONDO;866;801;5
AHEDO;865;896;0
BLANC;865;763;0
SCHNEIDER;865;333;0
GRAO;864;946;0
PUYUELO;864;934;11
CRIOLLO;864;909;25
MORENILLA;864;857;0
PALAZUELOS;864;848;5
CARULLA;864;814;0
JANER;864;754;0
SOROLLA;863;999;12
BASTERRECHEA;863;905;6
BAU;863;859;0
VILLAJOS;863;855;6
SAMBLAS;863;842;0
SANDIN;863;772;5
BENEITO;862;914;0
LLOVERA;862;868;7
RODIL;862;832;5
AYATS;862;774;0
TERROBA;862;747;0
SENDINO;862;746;0
ALZAMORA;861;839;0
MONTAÑANA;861;806;5
GALDO;861;795;0
GRIJALBA;860;880;7
GALVIN;860;837;0
MIRETE;859;882;0
GASULLA;859;867;10
DOLERA;859;866;15
ESQUIVA;859;859;0
RAMI;859;592;11
AGREDANO;858;907;0
URCELAY;858;846;0
MACAS;858;814;51
TORNEL;858;789;0
BERMEO;857;955;21
BOJ;857;858;6
FRASQUET;857;844;9
AFZAL;857;66;8
ARANCIBIA;856;835;18
SABORIT;856;745;0
COHEN;856;551;25
RABANEDA;855;885;0
CAMBLOR;855;860;18
JARABA;855;849;0
LLEO;855;846;10
SABIDO;855;822;0
YAO;855;74;0
JAMBRINA;854;845;10
CLAVEL;854;759;0
SIRERA;854;758;10
ROLLON;854;757;7
ILIEV;854;570;22
DIAW;854;147;13
TURNER;854;125;0
MOZOS;853;906;0
MEDINILLA;853;857;8
PILA;853;856;11
VICTORIO;852;916;0
RONCAL;852;865;0
CANDO;852;828;22
ZUDAIRE;852;765;0
REYNA;852;749;0
MARINOVA;852;710;32
KADRI;852;285;120
RONQUILLO;851;975;9
FIGUEREO;851;912;39
MUROS;851;846;12
JAVED;851;90;9
CORRO;850;945;0
ARROBA;850;890;7
ESCRIHUELA;850;864;25
SOPEÑA;850;824;0
VALLECILLOS;850;822;0
HUESCAR;849;897;15
SISO;849;805;10
QUEIPO;849;760;12
MIAH;849;54;8
MUNIESA;848;840;0
PELAZ;848;824;0
CARDEÑA;848;820;11
CASTREJON;848;807;27
TEJON;848;805;15
BARTUAL;848;789;0
FONTES;847;919;11
DE VERA;847;914;0
ECHEVERRY;847;823;8
PUÑAL;847;725;7
SELFA;846;823;10
GAMA;846;812;5
LERENA;846;780;32
HONG;846;100;0
ALIJA;845;898;31
MUGURUZA;845;874;0
SANTAFE;845;858;0
CUBA;845;832;8
LEGARRETA;845;808;13
GOZALBO;845;797;7
MOLIST;845;719;11
VERDEGUER;845;711;0
CAPELO;845;702;13
YORDANOVA;845;477;17
AZNAREZ;844;932;0
CAPA;843;932;8
CASTELAO;843;909;0
ANTOÑANZAS;843;890;20
MERINERO;843;863;5
PRUDENCIO;843;816;0
TAJES;842;981;22
BIZCOCHO;842;915;9
ANDRINO;842;859;21
OUTEIRAL;842;848;10
BONA;842;818;0
BATET;842;815;0
SACO;842;807;0
DEL CID;842;778;0
DOUMBIA;842;84;11
REMIRO;841;956;7
COLMENAREJO;841;903;0
VIOQUE;841;887;5
BARDON;841;859;30
SENENT;841;743;0
LAMEIRO;841;720;0
CLARKE;841;139;0
ZUMAQUERO;840;856;0
OLIVES;840;822;5
SESMERO;840;821;24
COTE;840;801;16
MELGOSA;840;801;5
TUNKARA;840;353;142
HUGHES;840;143;0
SANGARE;840;110;13
ORFILA;839;867;10
URRACA;839;867;0
DE LA ASUNCION;839;826;0
AMBROS;839;804;5
MOLINE;839;798;7
RODIÑO;839;785;19
DUMITRESCU;839;76;7
COTRINA;838;873;6
MORLA;838;862;0
PUIGVERT;838;829;0
ANILLO;838;814;14
TORIO;838;769;0
BUCH;838;629;0
EL HAMDAOUI;838;284;17
SOLTERO;837;914;0
BAIGORRI;837;888;0
PUJALTE;837;855;0
PEDREGAL;837;760;5
QUINTANO;837;735;0
MENDIVIL;837;660;5
SABRI;837;268;0
SHARMA;837;161;56
ARAGO;836;851;9
CODES;836;840;13
OLABARRIA;836;805;7
GUITIAN;836;742;0
ALZOLA;836;709;8
MARIAN;836;326;7
BABIANO;835;988;9
PICOS;835;969;14
MARCEN;835;847;24
ABIA;835;827;11
MIRAVETE;835;766;8
FERRETE;834;835;0
LLEIXA;834;808;31
MONTOSA;834;753;6
HADDAD;834;371;8
HORTIGUELA;833;888;32
PUY;833;836;0
PADRO;833;827;0
ARIZMENDI;833;770;0
BALCAZAR;832;906;20
BOQUETE;832;848;7
NEVES;832;823;0
PESTANA;832;805;16
FRANQUESA;832;758;0
ANGELES;832;743;0
GARRETA;832;723;0
CLARA;832;707;0
BERGUA;831;921;11
GOMARA;831;877;5
CORTELL;831;779;8
TRIBALDOS;831;761;15
EL ABDELLAOUI;831;248;30
FERNANDO;830;769;14
MONTESERIN;830;658;8
ILIEVA;830;576;24
PENSADO;829;932;11
AGRAMUNT;829;895;0
MERO;829;888;27
ALLO;829;834;17
FERRERUELA;829;810;70
MALIK;829;255;46
SAVA;829;77;7
GURRUCHAGA;828;914;9
LANCHARRO;827;867;5
BAPTISTA;827;731;9
DE LA NUEZ;827;714;0
AVIÑO;827;647;0
UZAL;826;893;0
EJARQUE;826;859;15
COMENDADOR;826;821;21
BATANERO;826;802;7
MIHALACHE;826;97;0
BIANCHI;825;386;0
HAN;825;83;0
OBISPO;824;925;0
ZAHONERO;824;800;11
ALDAY;824;800;0
GALBIS;824;764;0
ESTARLICH;824;758;14
MARINAS;824;754;5
CHOZAS;824;702;0
IRIMIA;824;330;9
BAZAGA;823;845;0
LA ROSA;823;797;8
FONTANALS;823;785;0
YARZA;823;769;0
VILLAGRAN;823;759;6
DE PRADA;823;715;9
BRAZA;823;609;0
URIZAR;822;849;0
CILLERO;822;833;0
EZPELETA;822;775;0
IGARTUA;822;758;12
BALSELLS;822;672;5
SANTACANA;822;667;0
ALCANTUD;821;968;7
ENGUITA;821;865;8
DELGADILLO;821;816;8
HERRANDO;821;810;0
MORALEJO;821;801;14
OLMEDILLA;821;766;0
TERRASA;821;739;0
ALANIS;821;704;0
ALBALATE;820;912;0
ESPASA;820;886;14
CLAR;820;803;0
BERNAUS;820;779;12
VIGUERAS;820;767;0
RIDAO;819;777;23
BATUECAS;819;771;54
MALIA;819;762;23
MAO;819;121;0
INES;818;892;0
SEGUROLA;818;882;6
PELEGRINA;818;870;26
ANTOLI;818;860;0
VANRELL;818;843;7
PANADES;818;812;0
JUST;818;758;0
CANA;818;733;12
MEMBRILLA;817;947;0
LORIENTE;817;874;0
REMEDIOS;817;813;0
CELDA;817;809;0
DE CABO;817;805;0
BODI;817;798;0
VINDEL;817;777;0
LLEONART;817;763;0
ZABALLA;817;743;0
LACUEVA;817;742;8
SANTORO;817;525;24
ARTETA;816;775;6
GOYANES;816;760;0
EL FOUNTI;816;459;46
PARRAMON;815;785;9
CIVIT;815;773;0
MEHDI;815;286;12
LAHERA;814;930;0
MANZANEDA;814;884;5
BARGUEÑO;814;868;18
CANGA;814;785;0
VALAREZO;814;743;22
MINGUET;814;721;9
FELGUERA;814;634;45
CALCERRADA;813;945;16
CES;813;854;12
MOZAS;813;754;10
ROSET;813;670;0
SHAH;813;229;10
YELAMOS;812;808;6
RUMBO;812;746;0
VENTOSO;812;746;0
GABAS;811;875;8
TOJO;811;828;12
CORTE;811;729;24
PIMIENTA;811;675;14
AZZI;811;235;71
CHERKAOUI;811;222;9
ARIF;811;174;24
HINAREJOS;810;829;6
GROBA;810;796;26
SILVERA;810;796;5
URIZ;810;652;0
MEYER;810;348;5
HERVIAS;809;924;17
ALCOBENDAS;809;855;7
SUSO;809;773;5
MALPICA;809;760;5
MANZANAS;809;724;7
LUZURIAGA;809;704;10
BENAMAR;809;310;8
DIAWARA;809;174;49
GIGANTE;808;883;0
TRUJILLANO;808;837;8
BUA;808;822;6
ROEL;808;796;0
TORRUBIA;808;743;0
COY;808;718;9
SAMB;808;173;17
POMA;807;822;8
SY;807;229;33
ALCANTARILLA;806;774;0
LANAU;806;770;27
TORREÑO;806;747;9
TOYOS;806;735;11
PURAS;806;704;5
PINTEÑO;806;648;0
TRIPIANA;805;774;0
CLOS;805;748;0
TELLADO;805;725;0
CARTON;805;717;9
LLORACH;805;664;9
DIACONU;805;67;5
ALVEZ;804;824;8
BARCENAS;804;790;7
ARGILES;804;752;0
SADABA;804;748;9
AÑEZ;804;687;5
SALVO;804;686;0
STEFANOV;804;357;30
ROIZ;803;876;12
SAUGAR;803;817;18
VISIEDO;803;815;6
PENALBA;803;782;0
LABELLA;803;761;0
GIRBES;803;720;16
EL KHATTABI;803;267;11
SAMPOL;802;803;0
ROMERAL;802;768;5
BALADA;802;768;0
BRUÑA;802;758;14
MUNTANE;802;732;0
NIN;802;688;8
BURGUES;801;850;16
OROSA;801;791;18
FERRIN;801;729;10
CAPELL;801;719;8
MORI;801;660;0
ORERO;800;874;8
MENCHEN;800;754;0
ZARZOSO;800;702;0
RABHI;800;214;18
TOADER;800;63;5
MARINE;799;846;10
MEIZOSO;799;707;17
MIMUN;799;700;13
FISCHER;799;302;0
MORGAN;799;165;0
AIRES;798;852;14
LARRIBA;798;846;0
CARROZA;798;829;19
RIBE;798;816;0
HUELVA;798;808;0
RAIMUNDO;798;762;0
BELLAS;798;752;0
CANELO;798;743;0
CARNE;798;740;0
GRANDIO;798;684;7
GUIX;797;835;7
ALVARENGA;797;780;12
BANDRES;797;756;0
CEBOLLADA;797;737;9
FRADEJAS;797;732;7
REPULLO;797;700;0
DEL BOSQUE;797;670;6
MARINOV;797;637;33
DIESTRO;796;789;8
ESCANDON;796;789;8
ALVA;796;745;6
DE CARLOS;796;708;0
STEFANOVA;796;409;31
EL ALAMI;796;303;27
ROMERO DE AVILA;795;821;12
BERAZA;795;798;0
ANDALUZ;794;818;5
RAMAL;794;817;10
ARRATIBEL;794;816;12
ALMEDA;794;801;0
CONCA;794;677;0
LEITE;793;881;0
DOS REIS;793;875;7
PEDRON;793;811;18
SOLBES;793;808;19
PORCUNA;793;804;0
MARIJUAN;793;735;25
STOYANOV;793;487;41
LABARTA;792;822;5
RILO;792;804;7
LLOVET;792;791;0
ALBORNOZ;792;763;0
PEIDRO;791;790;0
BARBON;791;748;22
GOROSTIAGA;791;695;9
MOHAMMED;791;286;21
SADIK;791;254;10
JOSA;790;865;0
LABRADA;790;859;14
VILLAMAR;790;835;7
TEODORO;790;700;5
CEACERO;790;698;9
TUSET;790;641;0
EL AZZOUZI;790;233;10
CASTELLAR;789;901;0
CAÑEDO;789;790;0
LAIZ;789;764;19
TOSTADO;789;738;12
BALTANAS;789;671;0
KHALID;789;140;10
FIGUERES;788;755;0
ALISEDA;788;723;20
DONADO;788;636;8
SANROMA;788;613;0
MAURICIO;787;799;0
GUIO;787;769;7
CALABRIA;787;749;0
BLASI;787;741;0
TUREGANO;787;616;0
AYADI;787;245;26
ALBU;787;78;10
TORREIRO;786;788;0
DE COS;786;735;0
MANTAS;785;911;5
SECADES;785;800;7
ADELANTADO;785;779;0
FERRUS;785;668;0
DELTELL;784;891;5
TORVISCO;784;868;7
ESCRICH;784;866;0
SANTESTEBAN;784;808;21
OCAMPOS;784;758;16
URTASUN;784;705;7
MURGUI;784;695;26
LESMES;784;688;0
COLOMBO;784;417;0
EL MOURABIT;784;254;28
PATINO;783;853;0
SALDARRIAGA;783;798;6
FACAL;783;764;13
PARDILLO;783;751;17
ESPERON;783;728;10
FARGAS;783;672;6
RUDA;783;595;9
ROSCA;783;89;8
BRIOSO;782;859;0
ECHEGARAY;782;736;6
NIUBO;782;690;0
FITA;782;629;0
COLLAR;781;812;5
RUSO;781;779;24
REA;781;730;8
CUQUERELLA;780;868;11
TERESA;780;830;8
CAMPON;780;807;0
SANFELIU;780;729;0
MIRAGAYA;780;708;19
QUINTEROS;780;707;13
SAMADI;780;354;87
ROZA;779;810;8
UBACH;779;772;0
CARRICONDO;779;738;5
HAMDI;779;291;23
DIAO;779;165;30
TORRUELLA;778;778;0
CALAHORRA;778;772;9
CANOS;778;742;6
BENEGAS;778;728;11
SELLARES;778;710;6
BERJANO;777;873;0
BAHILLO;777;791;0
OTALORA;777;757;14
GARVIN;777;660;9
YUS;776;793;9
MALPARTIDA;776;789;0
SANCHEZ MIGALLON;776;784;10
YELA;776;768;11
BENAYAS;776;755;9
PEREIRAS;775;737;10
ROALES;775;727;0
GONZAGA;775;713;7
LIJO;774;802;0
ANTICH;774;722;0
PAINO;774;704;5
AZKUE;774;628;9
ALLEN;774;282;0
ARDANAZ;773;872;0
DEL MONTE;773;741;0
MAROÑO;773;738;10
BERRAQUERO;773;722;5
SAHAGUN;772;778;6
QUINTANAR;772;750;15
CASTELLET;772;725;0
LEWIS;772;149;0
AMIEVA;771;861;17
CHIVITE;771;662;25
AGRELO;770;943;0
CALVAR;770;882;11
QUISHPE;770;825;24
REMIREZ;770;775;12
RUIZ DE AZUA;770;737;10
DEL CARMEN;770;731;8
FELEZ;770;700;8
RIAZ;770;129;5
FALERO;769;794;0
RUFIAN;769;768;6
FRONTERA;769;711;8
GAINZA;769;702;0
TALON;769;667;14
FORTUÑO;769;664;0
BELL;769;248;0
MACHIO;768;771;7
MASSA;768;761;0
PATRON;768;731;0
MOISE;768;71;5
RUFETE;767;784;0
BES;767;780;9
PARVEEN;767;690;0
BAQUE;766;856;14
VAYA;766;811;0
UTRERO;766;785;9
BERGILLOS;766;736;0
LLONA;766;728;10
BOCOS;766;688;7
PERAN;766;651;8
MOLA;766;626;0
DEVORA;766;605;0
YOUNG;766;165;0
NOGAL;765;853;18
CALDERO;765;792;5
REVUELTO;765;777;7
TERES;765;775;7
HUALDE;765;751;0
MIRAVALLES;765;731;0
MUNILLA;765;691;0
CASTAÑE;765;690;0
VIÑOLO;765;607;5
MANGADO;764;765;14
TORRESANO;764;693;28
DE LA CHICA;764;657;0
MENARGUEZ;763;861;0
MALAGA;763;821;0
SEQUEIRA;763;819;7
IRALA;763;807;5
IBARGUREN;763;791;11
GARCERAN;763;791;0
HORNA;763;771;0
HAYA;763;728;0
PIEDRAFITA;763;668;8
FEMENIAS;762;851;8
RASTROJO;762;835;7
RECUENCO;762;831;5
APOLO;762;800;41
BARATA;762;798;56
DIANA;762;760;0
BALLESTE;762;759;5
BAZTAN;762;706;0
DIAZ DE CERIO;762;687;12
SAMPERE;762;685;0
MATARRANZ;762;656;0
PAGE;762;579;14
TORREALBA;761;868;11
CHAMBA;761;861;30
AMUEDO;761;842;0
ORTE;761;819;12
LASIERRA;761;774;9
PANERO;761;729;5
SIEIRO;761;701;6
ARBIOL;761;656;5
PESTAÑA;760;836;0
FILGUEIRAS;760;819;0
NAVES;760;785;0
LOPETEGUI;760;769;0
BORQUE;760;752;15
LEZA;760;746;9
NASCIMENTO;760;716;6
CHARLES;760;591;5
BAKER;760;100;0
MORAGON;759;886;15
BAÑA;759;811;14
GURIDI;759;781;11
RAZQUIN;759;733;16
ARCONADA;759;716;0
ARGUESO;759;696;0
FANLO;759;692;0
GUNDIN;759;689;0
BELTRA;759;646;0
NEACSU;759;83;6
ZAMBUDIO;758;805;5
ROBREDO;758;748;6
URRESTI;758;742;7
SAGUES;758;711;0
CENDAN;758;689;0
JARABO;758;678;10
AZZOUZI;758;242;8
BOTERO;757;800;0
SEGADOR;757;726;0
TAVERAS;757;719;8
COLLELL;757;695;0
ALLOZA;757;644;0
PERUJO;756;806;9
MALLA;756;782;8
RAGEL;756;759;0
GARBAYO;756;737;5
AHIJADO;756;715;0
OBESO;756;709;6
CLOQUELL;756;708;8
SAS;756;353;6
SAURI;755;797;0
POBLETE;755;728;7
BECARES;755;712;19
HERGUETA;755;703;0
CANADELL;755;693;0
ESCOFET;755;669;0
SANE;755;186;11
VENTEO;754;794;10
FONTALBA;754;758;15
BURBANO;754;745;13
ARANZABAL;754;731;0
GUMIEL;754;695;0
INCHAUSTI;753;800;0
PUYO;753;740;0
MAGALHAES;753;728;0
ALEPUZ;752;797;5
LLAGOSTERA;752;741;0
ROMAGOSA;752;621;0
EL MESSAOUDI;752;295;12
JAITEH;752;228;65
WARD;752;132;0
CASINO;751;723;10
CABADO;751;713;11
LLAMBRICH;751;705;14
ESCARABAJAL;751;690;0
BALTAR;751;676;0
DENIS;751;621;10
NITU;751;51;0
VALDEPEÑAS;750;766;0
TARI;750;680;0
LOREN;750;643;0
BOLOS;750;605;0
LOMBARDERO;749;780;0
CAÑESTRO;749;736;0
ESCUIN;749;723;6
DARDER;749;677;0
CENDRERO;749;661;27
LEGIDO;748;834;6
DE LA GUIA;748;723;15
BADENAS;748;717;10
ARAMBARRI;748;689;0
GUINOT;748;688;0
JALON;748;665;7
CIVANTOS;747;751;0
ALMONACID;747;704;0
YERGA;747;677;0
GRIS;747;673;5
YBARRA;747;618;13
AMGHAR;747;215;17
RASTROLLO;746;805;0
CORTEGOSO;746;733;15
DUART;746;647;8
DE LUNA;746;620;0
MUJIKA;746;499;16
NAGY;746;151;9
GAMALLO;745;824;10
QUEIRUGA;745;774;14
CAÑADILLA;745;769;5
PAMPLONA;745;737;16
MATARIN;745;701;11
BEJERANO;745;698;0
GENIS;745;696;0
CAMESELLE;745;692;0
DINCA;745;66;5
BALLANO;744;801;0
GAMAZA;744;779;0
MEDIALDEA;744;770;8
GESTAL;744;764;0
MAULEON;744;727;16
GORROCHATEGUI;744;723;5
LUCEA;744;719;0
SOTA;744;668;14
SAMPIETRO;744;651;0
CLOSA;744;597;0
GOSALBEZ;743;741;13
CLAUDIO;743;694;0
SAPENA;743;677;0
ALISES;743;637;6
BEZARES;743;610;0
POBLADOR;742;785;10
TUBAU;742;774;0
CEPAS;742;765;0
ARRESE;742;752;0
SANDEZ;742;724;7
OTON;742;724;0
LUNAR;742;705;0
ROIGE;742;693;7
TORNAY;742;643;10
CLEMENT;742;606;0
CHAKIR;742;209;0
SU;742;65;0
REJANO;741;722;0
BAOS;741;709;10
DEL MOLINO;741;667;8
ALAMAN;741;654;0
COCO;741;652;5
ESONO;741;311;10
ZOU;741;36;0
POYO;740;847;20
RESANO;740;746;29
VILLACIS;740;724;13
PERARNAU;740;709;17
BACHIRI;740;257;23
ESPOSITO;740;250;0
TRABA;739;843;23
DA ROCHA;739;840;5
RENDO;739;745;11
SORLI;739;688;9
SALO;739;654;0
SALLES;739;632;0
SIMA;739;132;6
BADOSA;738;741;0
URRESTARAZU;738;716;0
GIRAL;738;695;5
HINOJAL;738;681;0
BERDUN;738;648;8
PILO;737;705;26
RETAMOSA;737;701;0
BURDALO;737;672;5
SAINZ DE LA MAZA;737;655;13
MOREIRAS;737;655;7
GALACHE;737;636;0
GROSSO;737;632;0
LUCIANO;737;582;15
ASCASO;736;792;0
NASARRE;736;755;9
SENDON;736;748;12
BRASERO;736;741;14
ECHAVARRIA;736;737;9
MOTILLA;736;723;0
GALOFRE;736;695;6
ARENILLAS;736;692;0
FERREÑO;736;678;8
MINGUILLON;736;642;0
GUEDE;736;592;6
CUARTAS;735;763;10
CORVO;735;755;10
CADAVID;735;752;6
PEÑALVA;735;729;5
NAJAR;735;689;5
ARAEZ;734;846;0
OROPESA;734;756;7
CLARET;734;744;0
ALTARRIBA;734;730;0
SAGRERA;734;707;0
FORTUNA;734;701;9
GAMAZO;734;682;17
SARASUA;734;594;0
RAHMANI;734;241;20
ESCUREDO;733;781;27
ALUSTIZA;733;738;7
BANDERAS;733;634;0
SONG;733;58;0
DAI;733;52;0
AZABAL;732;847;17
ESPALLARGAS;732;788;19
ARGUETA;732;783;23
LETE;732;763;0
LEGORBURU;732;714;6
MITJANS;732;706;6
CASTELLOTE;732;697;0
DE LA ORDEN;732;636;0
FARES;732;289;0
GROSU;732;67;6
LAGUIA;731;842;0
UGENA;731;821;0
BENCOMO;731;758;12
PANISELLO;731;730;5
LOECHES;731;719;5
RONCO;731;711;0
BONIFACIO;731;700;0
MITCHELL;731;205;0
PINHEIRO;730;816;0
ROBERTO;730;726;11
PIÑANA;730;641;0
DE FELIPE;730;433;0
BASILIO;729;818;18
DA CUNHA;729;787;5
ARCONES;729;770;10
TEN;729;759;0
SAPIÑA;729;740;8
PALANCO;729;654;14
ALDASORO;728;762;8
ADRADOS;728;747;0
IRIGARAY;728;680;9
ABBOU;728;197;36
BONDIA;727;778;0
PADILLO;727;633;7
BASELGA;727;578;7
SOARE;727;48;6
HORCAS;726;771;14
NAVARLAZ;726;743;85
DEL VILLAR;726;738;9
CASTANY;726;736;0
JULIO;726;718;0
FOLGUERA;726;669;0
MALAVE;726;669;0
CHIRIAC;726;68;8
SABINA;725;779;0
ARRIAZU;725;761;24
FORNS;725;760;0
SALABERRIA;725;747;8
VITORES;725;742;0
CAMAÑO;725;737;0
IGUALADA;725;725;9
CARIDAD;725;721;0
ALBESA;725;713;8
DE TENA;725;707;0
MONTULL;725;693;8
SABIN;725;640;10
SAGARRA;725;606;0
REDIN;725;588;0
OLARU;725;52;0
MALVIDO;724;778;12
LACUNZA;724;736;8
RANEA;724;724;16
PARELLADA;724;705;0
NAJI;724;208;6
DRAGHICI;724;61;6
CASTILLEJOS;723;891;6
CAÑA;723;845;0
JATIVA;723;681;0
ROLON;723;674;11
BARBOZA;723;658;0
BERDUGO;723;656;12
SENIN;723;649;18
MERCHANTE;722;816;0
CERMEÑO;722;702;0
DE MANUEL;722;494;6
DE LORENZO;722;303;0
KAMAL;722;155;0
GAMITO;721;761;6
GENTO;721;753;0
FARIA;721;726;0
PARDIÑAS;721;724;0
PERIANES;721;712;7
GASULL;721;646;0
BARRENETXEA;721;567;0
CACHON;720;719;5
ORDOÑO;720;710;17
CACHERO;720;702;0
MAURIZ;720;654;0
TORDERA;720;638;0
FERREYRA;720;498;6
BALDEH;720;200;54
HELGUERA;719;720;0
SAVALL;719;665;5
ESTEBARANZ;719;582;14
SALI;719;121;8
ALLES;718;769;6
FOS;718;737;9
ARGANDOÑA;718;727;0
ESNAL;718;683;0
RIASCOS;718;622;41
ESCOTO;718;619;9
TURRION;718;619;8
ATANASOVA;718;499;39
EL MORABIT;718;260;9
PENDON;717;861;5
PALOMA;717;765;0
MONTIJANO;717;724;0
MANGA;717;686;6
IZAGIRRE;717;618;5
NIKOLAEVA;717;146;5
GAMBERO;716;781;6
REIS;716;743;0
MAÑOGIL;716;727;14
TRIAY;716;711;5
PROAÑO;716;707;7
BELVER;716;681;16
COT;716;657;0
DE LA GUARDIA;716;632;5
ANCA;716;487;6
OTIN;715;774;9
GARCIA MUÑOZ;715;765;14
FONTELA;715;717;0
REVELLES;715;716;5
CAMUÑEZ;715;713;0
LARRALDE;715;709;16
FREIJO;715;694;8
RIPA;715;691;0
FIGUEIREDO;715;628;0
SABIR;715;207;20
FENG;715;64;0
PARASCHIV;715;45;0
VILLARAN;714;820;12
TORIL;714;724;6
PORTELL;714;688;0
ARMENTIA;714;672;7
RUBIERA;714;638;0
ARTETXE;714;566;9
TRAWALLY;714;143;47
MAGRIÑA;713;782;0
CORNAGO;713;740;13
SANTAOLALLA;713;709;0
MARTIN CONSUEGRA;713;688;0
PERUCHO;713;631;0
ESPINOSA DE LOS MONTEROS;713;622;0
AKTER;713;367;0
GENER;712;739;0
AYBAR;712;722;5
BIGAS;712;685;0
VIDAURRE;712;640;6
ELOSEGUI;712;576;0
BENAISSA;712;320;7
BELHADJ;712;174;7
LAVANDEIRA;711;823;22
REIGOSA;711;775;0
OYARBIDE;711;767;11
